index,ids,type,target_group,address,nuts3,owner,scale of_service,form_of_service,capacity,tel,mail,web,name_of_stat,name_of_stat_ast,date_of_reg,date_of_exclusion,sector,muni,type_en,fos_en,owner_en
618,"Lumina, n.o., Severná 202/3, 076 62 Dvorianky, IčO: 45745382",denný stacionár,Seniori; Zdravotne postihnutí občania,"Hlavná 342/37, 076 64 Zemplínska Teplica",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,18,NULL,NULL,NULL,Jozef Šimai,Mgr. Anežka Kuchtová,23/09/2015 00:00,NULL,SK HOBO CORE,Zemplínska Teplica,daily stationary,ambulant,privately owned
399,"Oáza - nádej pre nový život, n. o. Oasis of Hope for new life, non for profit organisation, Záhrada Bernátovce 779, 040 17 Košice-Barca, IčO: 35581697",nocľaháreň,Občania v krízovej situácii,"Záhrada Bernátovce 779, 04017 Košice-Barca",Košický kraj,neverejný poskytovateľ,určitý čas,pobytová - ročná,79,NULL,NULL,NULL,Mgr. Peter Gomgita,Mgr. Peter Gombita,23/12/2009 00:00,NULL,Košice,Košice,Dormitory room,residential,privately owned
733,"Arcidiecézna charita Košice, Bočná 417/2, 040 01 Košice-Staré Mesto, IčO: 35514027",špecializované zariadenie,Fyzická osoba s Alzheimerovou chorobou;  fyzická osoba s demenciou;  fyzická osoba s organickým psychosyndrómom; Fyzická osoba s inými špecifickými ochoreniami; Fyzická osoba s Parkinsonovou chorobou; Fyzická osoba so schizofréniou,"Južná trieda 2, 04001 Košice-Juh",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,15,NULL,NULL,NULL,Ing. Cyril Korpesio,Mgr. Katarína Seidlová,01/07/2009 00:00,NULL,Košice,Košice,specialized institutions,residential,privately owned
234,"Maják n. o., Zdoba 79, 044 41 Sady nad Torysou, IčO: 31257178",špecializované zariadenie,Fyzická osoba – hluchoslepá,"Zdoba 79, 04441 Sady nad Torysou",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,9,NULL,NULL,NULL,Mgr. Henrieta Heidecker,Mgr. Miriama Hajduková,02/07/2009 00:00,NULL,SK HOBO CORE,Sady nad Torysou,specialized institutions,residential,privately owned
787,"Tokárová Ivona, ahanovské riadky 3690/13, 040 01 Košice-Sever",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Pod horou 24, 04016 Košice-Myslava",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,9,NULL,NULL,NULL,NULL,Ivona Tokárová,23/02/2018 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
788,"Tokár Jozef, ahanovské riadky 3690/13, 040 01 Košice-Sever",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Trieda SNP 61, 04011 Košice",Košický kraj,neverejný poskytovateľ,určitý čas,ambulantná,15,NULL,NULL,NULL,NULL,Jozef Tokár,16/01/2018 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
546,"Detské jasle s.r.o., Mánesova 1889/23, 040 01 Košice-Sever, IčO: 46401024",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"Mánesová 3582/23, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,15,NULL,NULL,NULL,MVDr. Peter čulen,MVDr. Peter čulen,04/12/2019 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
599,"Veselá Hviezdička, Jelenec 790, 95173 Jelenec, IčO: 52973905",zariadenie starostlivosti o deti do troch rokov veku dieaa,Rodina s dieaom do troch rokov veku,"čínska 24, 04013 Košice-ahanovce",Košický kraj,neverejný poskytovateľ,neurčitý čas,ambulantná,15,NULL,NULL,NULL,Mgr. Katarína Zaujecová,Mgr. Katarína Zaujecová,24/08/2020 00:00,NULL,Košice,Košice,childcare facility for children under three years,ambulant,privately owned
336,"Agentúra podporovaného zamestnávania Somotor, n.o, Agátová 226/2, 076 35 Somotor, IčO: 35581166",komunitné centrum,Občania v krízovej situácii,Okres Trebišov,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Adriana Ogou,JUDr. Rovinský Ladislav,20/01/2010 00:00,NULL,SK HOBO CORE,Somotor,community centre,field,privately owned
376,"HOMO HOMINI, n. o. slovenský názov čLOVEK čLOVEKU, n. o. skrátený názov H.H., n. o., Karadžičova 4107/37, 811 09 Bratislava-Staré Mesto, IčO: 37924435",opatrovateľská služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice IV,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Božena Marienková,"Ing. Mária Gamcová doc.,PhD.",20/08/2009 00:00,NULL,Košice,Košice,nursing service,field,privately owned
659,"Florence s.r.o., Hlavná ulica 164/43, 076 33 Slovenské Nové Mesto, IčO: 45976791",opatrovateľská služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Trebišov,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Editka Takáčová,Mgr. Editka Takáčová,11/09/2018 00:00,NULL,SK HOBO CORE,Slovenské Nové Mesto,nursing service,field,privately owned
13,"Slovenský červený kríž, územný spolok Košice-mesto, Komenského 1096/19, 040 01 Košice-Staré Mesto, IčO: 00416193",opatrovateľská služba,Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice - okolie,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Zuzana Jusková,Mgr. Martina Repejová,17/08/2009 00:00,NULL,Košice,Košice,nursing service,field,privately owned
296,"HOMO HOMINI, n. o. slovenský názov čLOVEK čLOVEKU, n. o. skrátený názov H.H., n. o., Karadžičova 4107/37, 811 09 Bratislava-Staré Mesto, IčO: 37924435",opatrovateľská služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice II,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Božena Marienková,"Ing. Mária Gamcová doc.,PhD.",20/08/2009 00:00,NULL,Košice,Košice,nursing service,field,privately owned
5,"Cesta nádeje, Mlynská 874/23, 040 01 Košice-Staré Mesto, IčO: 35551852",opatrovateľská služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice - okolie,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,MUDr. Zuzana Katreniaková PhD.,"MUDr. Zuzana Katreniaková, PhD.",14/12/2010 00:00,NULL,Košice,Košice,nursing service,field,privately owned
113,"Cesta nádeje, Mlynská 874/23, 040 01 Košice-Staré Mesto, IčO: 35551852",opatrovateľská služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice III,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,MUDr. Zuzana Katreniaková PhD.,MUDr. Zuzana Katreniaková PhD.,14/12/2010 00:00,NULL,Košice,Košice,nursing service,field,privately owned
137,"HOMO HOMINI, n. o. slovenský názov čLOVEK čLOVEKU, n. o. skrátený názov H.H., n. o., Karadžičova 4107/37, 811 09 Bratislava-Staré Mesto, IčO: 37924435",opatrovateľská služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice III,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Božena Marienková,"Ing. Mária Gamcová doc.,PhD.",20/08/2009 00:00,NULL,Košice,Košice,nursing service,field,privately owned
253,"Vision plus, n.o., Ku Potoku 770/5, 040 16 Košice-Myslava, IčO: 45740003",zariadenie pre seniorov,Seniori,"člnkova 26, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,9,NULL,NULL,NULL,PhDr. Ján Perduk,Mgr. Anna Feješová,26/01/2010 00:00,NULL,Košice,Košice,facility for seniors,residential,privately owned
189,"Slovenský červený kríž, územný spolok Košice-mesto, Komenského 1096/19, 040 01 Košice-Staré Mesto, IčO: 00416193",opatrovateľská služba,Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice II,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Zuzana Jusková,Mgr. Martina Repejová,17/08/2009 00:00,NULL,Košice,Košice,nursing service,field,privately owned
204,"Slovenský červený kríž, územný spolok Košice-mesto, Komenského 1096/19, 040 01 Košice-Staré Mesto, IčO: 00416193",opatrovateľská služba,Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice III,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Zuzana Jusková,Mgr. Martina Repejová,17/08/2009 00:00,NULL,Košice,Košice,nursing service,field,privately owned
543,"Arcidiecézna charita Košice, Bočná 417/2, 040 01 Košice-Staré Mesto, IčO: 35514027",prepravná služba,Zdravotne postihnutí občania,"Južná trieda 1549/2, 04001 Košice-Juh",Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Cyril Korpesio,Mgr. Katarína Seidlová,01/07/2009 00:00,NULL,Košice,Košice,transport service,field,privately owned
458,"Cesta nádeje, Mlynská 874/23, 040 01 Košice-Staré Mesto, IčO: 35551852",opatrovateľská služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice IV,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,MUDr. Zuzana Katreniaková PhD.,MUDr. Zuzana Katreniaková PhD.,14/12/2010 00:00,NULL,Košice,Košice,nursing service,field,privately owned
721,"Cesta nádeje, Mlynská 874/23, 040 01 Košice-Staré Mesto, IčO: 35551852",opatrovateľská služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice II,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,MUDr. Zuzana Katreniaková PhD.,MUDr. Zuzana Katreniaková PhD.,14/12/2010 00:00,NULL,Košice,Košice,nursing service,field,privately owned
677,"Slovenský červený kríž, územný spolok Košice-mesto, Komenského 1096/19, 040 01 Košice-Staré Mesto, IčO: 00416193",opatrovateľská služba,Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice I,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Zuzana Jusková,Mgr. Martina Repejová,17/08/2009 00:00,NULL,Košice,Košice,nursing service,field,privately owned
602,"OZ Hospic HARMÓNIA, Hlavná ulica 97/94, 076 33 Slovenské Nové Mesto, IčO: 35555769",opatrovateľská služba,Seniori; Zdravotne postihnutí občania,Slovenské Nové Mesto,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Editka Takáčová,Mgr. Editka Takáčová,30/06/2010 00:00,NULL,SK HOBO CORE,Slovenské Nové Mesto,nursing service,field,privately owned
539,"Vision plus, n.o., Ku Potoku 770/5, 040 16 Košice-Myslava, IčO: 45740003",špecializované zariadenie,Fyzická osoba s inými špecifickými ochoreniami; Fyzická osoba s Parkinsonovou chorobou; Fyzická osoba so schizofréniou; Fyzické osoby s Alzheimerovou chorobou; Fyzické osoby s demenciou; Fyzické osoby s organickým psychosyndrómom,"člnkova 26, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,16,NULL,NULL,NULL,PhDr. Ján Perduk,Mgr. Anna Feješová,26/01/2010 00:00,NULL,Košice,Košice,specialized institutions,residential,privately owned
65,"Všetci pre rodinu, n.o., Hemerkova 1318/28, 040 23 Košice-Sídlisko KVP, IčO: 52577341",podpora samostatného bývania,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,Okres Košice I,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,PhDr. Viktória Rusňáková,Mgr. Martina Hudáková,03/12/2019 00:00,NULL,Košice,Košice,support for independent housing,field,privately owned
84,"Všetci pre rodinu, n.o., Hemerkova 1318/28, 040 23 Košice-Sídlisko KVP, IčO: 52577341",podpora samostatného bývania,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,Okres Košice - okolie,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,PhDr. Viktória Rusňáková,Mgr. Martina Hudáková,03/12/2019 00:00,NULL,Košice,Košice,support for independent housing,field,privately owned
271,"Všetci pre rodinu, n.o., Hemerkova 1318/28, 040 23 Košice-Sídlisko KVP, IčO: 52577341",podpora samostatného bývania,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,Okres Košice IV,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,PhDr. Viktória Rusňáková,Mgr. Martina Hudáková,03/12/2019 00:00,NULL,Košice,Košice,support for independent housing,field,privately owned
364,"Všetci pre rodinu, n.o., Hemerkova 1318/28, 040 23 Košice-Sídlisko KVP, IčO: 52577341",podpora samostatného bývania,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,Okres Košice III,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,PhDr. Viktória Rusňáková,Mgr. Martina Hudáková,03/12/2019 00:00,NULL,Košice,Košice,support for independent housing,field,privately owned
191,"Všetci pre rodinu, n.o., Hemerkova 1318/28, 040 23 Košice-Sídlisko KVP, IčO: 52577341",podpora samostatného bývania,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,Okres Košice II,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,PhDr. Viktória Rusňáková,Mgr. Martina Hudáková,03/12/2019 00:00,NULL,Košice,Košice,support for independent housing,field,privately owned
225,"HOMO HOMINI, n. o. slovenský názov čLOVEK čLOVEKU, n. o. skrátený názov H.H., n. o., Karadžičova 4107/37, 811 09 Bratislava-Staré Mesto, IčO: 37924435",prepravná služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice II,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Božena Marienková,"Ing. Mária Gamcová doc.,PhD.",20/08/2009 00:00,NULL,Košice,Košice,transport service,field,privately owned
570,"SVETIELKO POMOCI n.o., Pražská 541/8, 040 11 Košice-Západ, IčO: 45736171",prepravná služba,Zdravotne postihnutí občania,"Pražská 541/8, 04011 Košice-Západ",Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Miroslava Hunčíková,Miroslava Hunčíková,10/08/2011 00:00,NULL,Košice,Košice,transport service,field,privately owned
231,"HOMO HOMINI, n. o. slovenský názov čLOVEK čLOVEKU, n. o. skrátený názov H.H., n. o., Karadžičova 4107/37, 811 09 Bratislava-Staré Mesto, IčO: 37924435",prepravná služba,Zdravotne postihnutí občania,Okres Košice I,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Božena Marienková,"Ing. Mária Gamcová doc.,PhD.",20/08/2009 00:00,NULL,Košice,Košice,transport service,field,privately owned
689,"HOMO HOMINI, n. o. slovenský názov čLOVEK čLOVEKU, n. o. skrátený názov H.H., n. o., Karadžičova 4107/37, 811 09 Bratislava-Staré Mesto, IčO: 37924435",prepravná služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice IV,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Božena Marienková,"Ing. Mária Gamcová doc.,PhD.",20/08/2009 00:00,NULL,Košice,Košice,transport service,field,privately owned
584,"HOMO HOMINI, n. o. slovenský názov čLOVEK čLOVEKU, n. o. skrátený názov H.H., n. o., Karadžičova 4107/37, 811 09 Bratislava-Staré Mesto, IčO: 37924435",prepravná služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,Okres Košice III,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Božena Marienková,"Ing. Mária Gamcová doc.,PhD.",20/08/2009 00:00,NULL,Košice,Košice,transport service,field,privately owned
126,"Košická organizácia vozičkárov - Nezávislý život, Talinská 2386/1, 040 12 Košice-Nad jazerom, IčO: 31267050",prepravná služba,Zdravotne postihnutí občania,"Talinská 2386/1, 04012 Košice-Nad jazerom",Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Peter Baranič,Barbora Hunyorová,20/08/2009 00:00,NULL,Košice,Košice,transport service,field,privately owned
551,"Slovenský červený kríž, územný spolok Trebišov, M. R. Štefánika 2368/176, 075 01 Trebišov, IčO: 00416274",prepravná služba,Fyzická osoba po dosiahnutí dôchodkového veku; Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom,"M. R. Štefánika 2368/176, 07501 Trebišov",Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Zuzana Bocsár Hajduová,Bc. Tomáš Szarvaš,07/07/2009 00:00,NULL,Trebišov,Trebišov,transport service,field,privately owned
580,"Centrum včasnej intervencie Košice, n. o., Jarná 1163/3, 040 01 Košice-Staré Mesto, IčO: 50291467",služba včasnej intervencie,Rodiny s demi; Zdravotne postihnutí občania,Okres Košice - okolie,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Simona Šimková,Mgr. Tatiana Iglaiová,22/07/2016 00:00,NULL,Košice,Košice,early intervention service,field,privately owned
164,"CASSOVIA ACADEMICA, Alžbetina 666/28, 040 01 Košice-Staré Mesto, IčO: 42096090",sociálne poradenstvo - špecializované,Občania v krízovej situácii; Rodiny s demi; Seniori; Seniori,"Alžbetina 28, 04001 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,JUDr. Judita Kántorová,PhDr. Jozef Vorobel PhD.,30/09/2015 00:00,NULL,Košice,Košice,social counselling - specialized,field,privately owned
192,"MIESTO POD SLNKOM n.o., Hlavná 37/68, 040 01 Košice-Staré Mesto, IčO: 31256511",sociálne poradenstvo - špecializované,Rodiny s demi,"Hlavná 37/68, 040 01 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,určitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Beáta Rybárová,Mgr. Beáta Rybárová,07/07/2009 00:00,NULL,Košice,Košice,social counselling - specialized,field,privately owned
378,"Slovenský červený kríž, územný spolok Košice-mesto, Komenského 1096/19, 040 01 Košice-Staré Mesto, IčO: 00416193",sociálne poradenstvo - špecializované,Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom; Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii; Fyzická osoba;  ktorá nemá zabezpečené nevyhnutné podmienky na uspokojovanie základných životných potrieb - jednotlivec,Okres Košice II,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Zuzana Jusková,Mgr. Lucia Karoľová,17/08/2009 00:00,NULL,Košice,Košice,social counselling - specialized,field,privately owned
80,"Slovenský červený kríž, územný spolok Košice-mesto, Komenského 1096/19, 040 01 Košice-Staré Mesto, IčO: 00416193",sociálne poradenstvo - špecializované,Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom; Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii; Fyzická osoba;  ktorá nemá zabezpečené nevyhnutné podmienky na uspokojovanie základných životných potrieb - jednotlivec,Okres Košice I,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Zuzana Jusková,Mgr. Lucia Karoľová,17/08/2009 00:00,NULL,Košice,Košice,social counselling - specialized,field,privately owned
324,"Slovenský červený kríž, územný spolok Košice-mesto, Komenského 1096/19, 040 01 Košice-Staré Mesto, IčO: 00416193",sociálne poradenstvo - špecializované,Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom; Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii; Fyzická osoba;  ktorá nemá zabezpečené nevyhnutné podmienky na uspokojovanie základných životných potrieb - jednotlivec,Okres Košice III,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Zuzana Jusková,Mgr. Lucia Karoľová,17/08/2009 00:00,NULL,Košice,Košice,social counselling - specialized,field,privately owned
607,"Arcidiecézna charita Košice, Bočná 417/2, 040 01 Košice-Staré Mesto, IčO: 35514027",sociálne poradenstvo - špecializované,Občania v krízovej situácii,"Bočná 417/2, 040 01 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,určitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Cyril Korpesio,Mgr. Jana Kováčiková,01/07/2009 00:00,NULL,Košice,Košice,social counselling - specialized,field,privately owned
489,"Slovenský červený kríž, územný spolok Košice-mesto, Komenského 1096/19, 040 01 Košice-Staré Mesto, IčO: 00416193",sociálne poradenstvo - špecializované,Fyzická osoba s ažkým zdravotným postihnutím alebo nepriaznivým zdravotným stavom; Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii; Fyzická osoba;  ktorá nemá zabezpečené nevyhnutné podmienky na uspokojovanie základných životných potrieb - jednotlivec,Okres Košice IV,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Zuzana Jusková,Mgr. Lucia Karoľová,17/08/2009 00:00,NULL,Košice,Košice,social counselling - specialized,field,privately owned
64,"Arcidiecézna charita Košice, Bočná 417/2, 040 01 Košice-Staré Mesto, IčO: 35514027",útulok,Občania v krízovej situácii,"Poľná 1, 040 14 Košice-Košická Nová Ves",Košický kraj,neverejný poskytovateľ,určitý čas,pobytová - ročná,95,NULL,NULL,NULL,Ing. Cyril Korpesio,Mgr. Miroslav Firda,01/07/2009 00:00,NULL,Košice,Košice,shelter,residential,privately owned
72,"Gréckokatolícka eparchiálna charita Košice, Dominikánske Námestie 3325/2A, 040 01 Košice-Staré Mesto, IčO: 35539488",útulok,Rodiny s demi,"Slovenskej Jednoty 319/25, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,neurčitý čas,pobytová - ročná,20,NULL,NULL,NULL,Mgr. Anna Ivanková,Mgr. Anna Ivanková,30/06/2010 00:00,NULL,Košice,Košice,shelter,residential,privately owned
383,"ETP Slovensko - Centrum pre udržateľný rozvoj, Tajovského 737/1, 040 01 Košice-Staré Mesto, IčO: 31751245",sociálne poradenstvo - základné,Občania v krízovej situácii,"Tajovského 1, 040 01 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Ing. Veronika Poklembová PhD.,Mgr. Ľudmila Stašáková,07/06/2010 00:00,NULL,Košice,Košice,social counselling - basic,field,privately owned
479,"Gréckokatolícka eparchiálna charita Košice, Dominikánske Námestie 3325/2A, 040 01 Košice-Staré Mesto, IčO: 35539488",sociálne poradenstvo - základné,Občania v krízovej situácii,"Dominikánske Námestie 3325/2A, 040 01 Košice-Staré Mesto",Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Mgr. Anna Ivanková,Mgr.Anna Ivanková,30/06/2010 00:00,NULL,Košice,Košice,social counselling - basic,field,privately owned
356,"Maják nádeje, Kováčska 292/48, 040 01 Košice-Staré Mesto, IčO: 42111510",terénna sociálna služba krízovej intervencie,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,Okres Košice II,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,"Mgr.,PaedDr. Soňa Vancáková PhD.",Mgr. Soňa Vancáková,26/08/2016 00:00,NULL,Košice,Košice,field social crisis intervention service,field,privately owned
394,"Maják nádeje, Kováčska 292/48, 040 01 Košice-Staré Mesto, IčO: 42111510",terénna sociálna služba krízovej intervencie,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,Okres Košice III,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,"Mgr.,PaedDr. Soňa Vancáková PhD.",Mgr. Soňa Vancáková,26/08/2016 00:00,NULL,Košice,Košice,field social crisis intervention service,field,privately owned
343,"Maják nádeje, Kováčska 292/48, 040 01 Košice-Staré Mesto, IčO: 42111510",terénna sociálna služba krízovej intervencie,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,Okres Košice - okolie,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,"Mgr.,PaedDr. Soňa Vancáková PhD.",Mgr. Soňa Vancáková,26/08/2016 00:00,NULL,Košice,Košice,field social crisis intervention service,field,privately owned
165,"Maják nádeje, Kováčska 292/48, 040 01 Košice-Staré Mesto, IčO: 42111510",terénna sociálna služba krízovej intervencie,Občania v krízovej situácii,Okres Košice I,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,"Mgr.,PaedDr. Soňa Vancáková PhD.",Mgr. Mgr. Soňa Vancáková PhD.,26/08/2016 00:00,NULL,Košice,Košice,field social crisis intervention service,field,privately owned
555,"Maják nádeje, Kováčska 292/48, 040 01 Košice-Staré Mesto, IčO: 42111510",terénna sociálna služba krízovej intervencie,Fyzická osoba v krízovej situácii alebo v inej obtiažnej životnej situácii,Okres Košice IV,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,"Mgr.,PaedDr. Soňa Vancáková PhD.",Mgr. Soňa Vancáková,26/08/2016 00:00,NULL,Košice,Košice,field social crisis intervention service,field,privately owned
642,"Agentúra podporovaného zamestnávania Somotor, n.o, Agátová 226/2, 076 35 Somotor, IčO: 35581166",terénna sociálna služba krízovej intervencie,Občania v krízovej situácii,Okres Trebišov,Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Adriana Ogou,JUDr. Ladislav Rovinský,20/01/2010 00:00,NULL,SK HOBO CORE,Somotor,field social crisis intervention service,field,privately owned
74,"KC ANEPS Košice, Kováčska  65 - 67, 04001 Košice-Staré Mesto, IčO: 42332206",tlmočnícka služba,Fyzická osoba nepočujúca,"Kováčská 294/65, 04001 Košice-Sever",Košický kraj,neverejný poskytovateľ,neurčitý čas,terénna,NULL,NULL,NULL,NULL,Renáta Milkovičová,Renáta Milkovičová,15/01/2015 00:00,NULL,Košice,Košice,translators,field,privately owned
