level_0,index,distance_km,distance_m,duration_h,duration_m,end_location,from_a,geocoder_status,id_cb,partial_match,place_id,start_location,to_b,types
44,0,4.9 km,4941,8 mins,453,"{'lat': 48.5093826, 'lng': 21.6117573}","076 14 Lastovce, Slovakia",OK,12,NULL,ChIJjQRP108rP0cR4G-XxtH3AAQ,"{'lat': 48.5393859, 'lng': 21.6285629}","Športová 183, 076 14 Michaľany, Slovakia",locality
45,0,13.3 km,13312,14 mins,818,"{'lat': 48.5093826, 'lng': 21.6117573}","076 01 Kožuchov, Slovakia",OK,12,NULL,ChIJvTYXbwTVOEcRcG-XxtH3AAQ,"{'lat': 48.5658216, 'lng': 21.7249685}","Športová 183, 076 14 Michaľany, Slovakia",locality
46,0,14.9 km,14867,16 mins,986,"{'lat': 48.5093826, 'lng': 21.6117573}","076 01 Zemplínske Hradište, Slovakia",OK,12,NULL,ChIJx0g_fXfVOEcRzBpPDBynbZY,"{'lat': 48.5837704, 'lng': 21.7356619}","Športová 183, 076 14 Michaľany, Slovakia",locality
47,0,15.2 km,15217,15 mins,929,"{'lat': 48.5093826, 'lng': 21.6117573}","076 02 Novosad, Slovakia",OK,12,NULL,ChIJ8x4lUznUOEcRgHCXxtH3AAQ,"{'lat': 48.5252548, 'lng': 21.7412231}","Športová 183, 076 14 Michaľany, Slovakia",locality
48,0,26.3 km,26300,25 mins,1496,"{'lat': 48.5093826, 'lng': 21.6117573}","076 35 Somotor, Slovakia",OK,12,NULL,ChIJYyKXz0jFOEcRrqnzzvy2bzc,"{'lat': 48.4036921, 'lng': 21.8110298}","Športová 183, 076 14 Michaľany, Slovakia",locality
50,0,13.1 km,13132,15 mins,880,"{'lat': 48.5093826, 'lng': 21.6117573}","076 16 Zemplínska Nová Ves, Slovakia",OK,12,NULL,ChIJifs3q9TUOEcRIQHYsL71Kgo,"{'lat': 48.5769724, 'lng': 21.6680537}","Športová 183, 076 14 Michaľany, Slovakia",locality
51,0,27.8 km,27790,27 mins,1626,"{'lat': 48.5093826, 'lng': 21.6117573}","076 34 Zemplín, Slovakia",OK,12,NULL,ChIJy2vPrWvQOEcR4HuXxtH3AAQ,"{'lat': 48.4389312, 'lng': 21.8123559}","Športová 183, 076 14 Michaľany, Slovakia",locality
52,0,21.2 km,21220,20 mins,1226,"{'lat': 48.5093826, 'lng': 21.6117573}","076 64 Zemplínska Teplica, Slovakia",OK,12,NULL,ChIJAxgEl1zWPkcRAHyXxtH3AAQ,"{'lat': 48.64611619999999, 'lng': 21.5738705}","Športová 183, 076 14 Michaľany, Slovakia",locality
64,0,12.6 km,12611,24 mins,1417,"{'lat': 48.5548592, 'lng': 21.5007301}","076 14 Michaľany, Slovakia",OK,19,NULL,ChIJI6oUfUnTOEcRYHCXxtH3AAQ,"{'lat': 48.5137583, 'lng': 21.6213664}","Pusztafalu, Unnamed Road, 3995 Hungary",locality
53,0,51.7 km,51732,50 mins,3025,"{'lat': 48.5093826, 'lng': 21.6117573}","044 58 Kechnec, Slovakia",OK,12,NULL,ChIJofQTEnsjP0cRcSqreUcZBRI,"{'lat': 48.5509588, 'lng': 21.2656102}","Športová 183, 076 14 Michaľany, Slovakia",locality
54,0,15.1 km,15053,17 mins,993,"{'lat': 48.5093826, 'lng': 21.6117573}","075 01 Plechotice, Slovakia",OK,12,NULL,ChIJdRsnpITVPkcRvixQ3hLOk90,"{'lat': 48.6257446, 'lng': 21.6364758}","Športová 183, 076 14 Michaľany, Slovakia",locality
57,0,10.9 km,10913,13 mins,768,"{'lat': 48.5093826, 'lng': 21.6117573}","076 16 Stanča, Slovakia",OK,12,NULL,ChIJ42CdNysrP0cRgByXxtH3AAQ,"{'lat': 48.5689496, 'lng': 21.6578755}","Športová 183, 076 14 Michaľany, Slovakia",locality
55,0,22.9 km,22923,21 mins,1285,"{'lat': 48.5093826, 'lng': 21.6117573}","076 05 Brehov, Slovakia",OK,12,NULL,ChIJ8WTe2svQOEcRqc58G1XzWH8,"{'lat': 48.4872872, 'lng': 21.8195503}","Športová 183, 076 14 Michaľany, Slovakia",locality
61,0,6.6 km,6649,7 mins,406,"{'lat': 48.5093826, 'lng': 21.6117573}","076 12 Brezina, Slovakia",OK,12,NULL,ChIJzyqPvIwrP0cREG6XxtH3AAQ,"{'lat': 48.5493659, 'lng': 21.5529881}","Športová 183, 076 14 Michaľany, Slovakia",locality
56,0,48.8 km,48801,47 mins,2846,"{'lat': 48.5093826, 'lng': 21.6117573}","044 58 Belža, Slovakia",OK,12,NULL,ChIJeeDu7-sjP0cRkESXxtH3AAQ,"{'lat': 48.5808077, 'lng': 21.2741044}","Športová 183, 076 14 Michaľany, Slovakia",locality
62,0,9.6 km,9644,9 mins,543,"{'lat': 48.5093826, 'lng': 21.6117573}","076 12 Kuzmice, Slovakia",OK,12,NULL,ChIJNVvXhsQrP0cRsG-XxtH3AAQ,"{'lat': 48.57881829999999, 'lng': 21.5701717}","Športová 183, 076 14 Michaľany, Slovakia",locality
58,0,22.3 km,22346,22 mins,1300,"{'lat': 48.5093826, 'lng': 21.6117573}","076 05 Cejkov, Slovakia",OK,12,NULL,ChIJ8f08Mw_ROEcRdYBNV9E0mcg,"{'lat': 48.4679814, 'lng': 21.7623173}","Športová 183, 076 14 Michaľany, Slovakia",locality
63,0,12.3 km,12275,12 mins,693,"{'lat': 48.5093826, 'lng': 21.6117573}","076 12 Slivník, Slovakia",OK,12,NULL,ChIJpTOZOoYpP0cR44Og2tVDkVk,"{'lat': 48.5999955, 'lng': 21.5564504}","Športová 183, 076 14 Michaľany, Slovakia",locality
59,0,9.9 km,9920,12 mins,726,"{'lat': 48.5093826, 'lng': 21.6117573}","076 17 Nižný Žipov, Slovakia",OK,12,NULL,ChIJuYuC8N0qP0cR48ntNy7FsQw,"{'lat': 48.5823056, 'lng': 21.6369371}","Športová 183, 076 14 Michaľany, Slovakia",locality
60,0,16.4 km,16363,16 mins,949,"{'lat': 48.5093826, 'lng': 21.6117573}","075 01 Egreš, Slovakia",OK,12,NULL,ChIJxe3SkA4qP0cR8G6XxtH3AAQ,"{'lat': 48.6141719, 'lng': 21.6090782}","Športová 183, 076 14 Michaľany, Slovakia",locality
64,0,1.3 km,1296,2 mins,128,"{'lat': 48.5093826, 'lng': 21.6117573}","076 14 Michaľany, Slovakia",OK,12,NULL,ChIJI6oUfUnTOEcRYHCXxtH3AAQ,"{'lat': 48.5137583, 'lng': 21.6213664}","Športová 183, 076 14 Michaľany, Slovakia",locality
68,0,25.7 km,25682,27 mins,1628,"{'lat': 48.5093826, 'lng': 21.6117573}","076 31 Klin nad Bodrogom, Slovakia",OK,12,NULL,ChIJ5b3pFxDPOEcRcByXxtH3AAQ,"{'lat': 48.38402869999999, 'lng': 21.7245537}","Športová 183, 076 14 Michaľany, Slovakia",locality
69,0,23.6 km,23613,23 mins,1401,"{'lat': 48.5093826, 'lng': 21.6117573}","076 34 Ladmovce, Slovakia",OK,12,NULL,ChIJJxfGE-PPOEcR0G-XxtH3AAQ,"{'lat': 48.4122298, 'lng': 21.78117}","Športová 183, 076 14 Michaľany, Slovakia",locality
70,0,26.7 km,26745,27 mins,1631,"{'lat': 48.5093826, 'lng': 21.6117573}","076 36 Malý Kamenec, Slovakia",OK,12,NULL,ChIJqZby-sbFOEcRQHCXxtH3AAQ,"{'lat': 48.3520822, 'lng': 21.7895763}","Športová 183, 076 14 Michaľany, Slovakia",locality
71,0,22.5 km,22544,24 mins,1412,"{'lat': 48.5093826, 'lng': 21.6117573}","076 31 Streda nad Bodrogom, Slovakia",OK,12,NULL,ChIJJ0VPX2LPOEcRwHqXxtH3AAQ,"{'lat': 48.3795523, 'lng': 21.7579633}","Športová 183, 076 14 Michaľany, Slovakia",locality
72,0,29.2 km,29199,28 mins,1682,"{'lat': 48.5093826, 'lng': 21.6117573}","076 36 Veľký Kamenec, Slovakia",OK,12,NULL,ChIJ3SlBz63FOEcRYHuXxtH3AAQ,"{'lat': 48.3615966, 'lng': 21.8059011}","Športová 183, 076 14 Michaľany, Slovakia",locality
44,0,17.6 km,17623,19 mins,1151,"{'lat': 48.4003727, 'lng': 21.666996}","076 14 Lastovce, Slovakia",OK,8,NULL,ChIJjQRP108rP0cR4G-XxtH3AAQ,"{'lat': 48.5393859, 'lng': 21.6285629}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
73,0,34.7 km,34709,33 mins,1985,"{'lat': 48.5093826, 'lng': 21.6117573}","040 18 Nižná Hutka, Slovakia",OK,12,NULL,ChIJWR-j0U0nP0cRLeMljBX7ohM,"{'lat': 48.65947, 'lng': 21.3604688}","Športová 183, 076 14 Michaľany, Slovakia",locality
68,0,11.5 km,11510,14 mins,836,"{'lat': 48.4003727, 'lng': 21.666996}","076 31 Klin nad Bodrogom, Slovakia",OK,8,NULL,ChIJ5b3pFxDPOEcRcByXxtH3AAQ,"{'lat': 48.38402869999999, 'lng': 21.7245537}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
74,0,42.3 km,42272,42 mins,2518,"{'lat': 48.5093826, 'lng': 21.6117573}","044 10 Geča, Slovakia",OK,12,NULL,ChIJsy6_zzohP0cR0EWXxtH3AAQ,"{'lat': 48.6272272, 'lng': 21.3070622}","Športová 183, 076 14 Michaľany, Slovakia",locality
75,0,42.4 km,42397,42 mins,2499,"{'lat': 48.5093826, 'lng': 21.6117573}","044 14 Gyňov, Slovakia",OK,12,NULL,ChIJ5-su5AQkP0cR4EWXxtH3AAQ,"{'lat': 48.5894837, 'lng': 21.3060745}","Športová 183, 076 14 Michaľany, Slovakia",locality
76,0,47.5 km,47476,48 mins,2907,"{'lat': 48.5093826, 'lng': 21.6117573}","044 13 Kokšov-Bakša, Slovakia",OK,12,NULL,ChIJnf5r6dogP0cRsEaXxtH3AAQ,"{'lat': 48.6472759, 'lng': 21.3247578}","Športová 183, 076 14 Michaľany, Slovakia",locality
77,0,31.7 km,31724,38 mins,2291,"{'lat': 48.5093826, 'lng': 21.6117573}","044 11 Skároš, Slovakia",OK,12,NULL,ChIJMeJRoyMmP0cRMEmXxtH3AAQ,"{'lat': 48.5883954, 'lng': 21.3760376}","Športová 183, 076 14 Michaľany, Slovakia",locality
78,0,41.7 km,41701,40 mins,2429,"{'lat': 48.5093826, 'lng': 21.6117573}","044 11 Trstené pri Hornáde, Slovakia",OK,12,NULL,ChIJhwO1Uy4kP0cRlZ3pgb5sD34,"{'lat': 48.57321, 'lng': 21.3339521}","Športová 183, 076 14 Michaľany, Slovakia",locality
79,0,64.1 km,64085,55 mins,3295,"{'lat': 48.5093826, 'lng': 21.6117573}","044 81 Trebejov, Slovakia",OK,12,NULL,ChIJfXnjQcLlPkcRsEmXxtH3AAQ,"{'lat': 48.8351976, 'lng': 21.2194749}","Športová 183, 076 14 Michaľany, Slovakia",locality
80,0,33.5 km,33478,32 mins,1929,"{'lat': 48.5093826, 'lng': 21.6117573}","044 15 Vyšná Myšľa, Slovakia",OK,12,NULL,ChIJYXzteQcnP0cRUEqXxtH3AAQ,"{'lat': 48.6342772, 'lng': 21.3876045}","Športová 183, 076 14 Michaľany, Slovakia",locality
81,0,38.1 km,38109,37 mins,2211,"{'lat': 48.5093826, 'lng': 21.6117573}","044 11 Ždaňa, Slovakia",OK,12,NULL,ChIJv48v2Y0mP0cRoEqXxtH3AAQ,"{'lat': 48.6023307, 'lng': 21.3466906}","Športová 183, 076 14 Michaľany, Slovakia",locality
82,0,30.6 km,30596,29 mins,1728,"{'lat': 48.5093826, 'lng': 21.6117573}","076 35 Svätá Mária, Slovakia",OK,12,NULL,ChIJ37sfvYbaOEcRwG2XxtH3AAQ,"{'lat': 48.4326836, 'lng': 21.8440886}","Športová 183, 076 14 Michaľany, Slovakia",locality
45,0,22.5 km,22490,19 mins,1165,"{'lat': 48.4003727, 'lng': 21.666996}","076 01 Kožuchov, Slovakia",OK,8,NULL,ChIJvTYXbwTVOEcRcG-XxtH3AAQ,"{'lat': 48.5658216, 'lng': 21.7249685}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
83,0,44.5 km,44537,45 mins,2712,"{'lat': 48.5093826, 'lng': 21.6117573}","044 13 Valaliky, Slovakia",OK,12,NULL,ChIJO1Ia6ecgP0cRcZNvyShqkIE,"{'lat': 48.6422547, 'lng': 21.2919549}","Športová 183, 076 14 Michaľany, Slovakia",locality
71,0,8.4 km,8372,10 mins,620,"{'lat': 48.4003727, 'lng': 21.666996}","076 31 Streda nad Bodrogom, Slovakia",OK,8,NULL,ChIJJ0VPX2LPOEcRwHqXxtH3AAQ,"{'lat': 48.3795523, 'lng': 21.7579633}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
0,0,53.7 km,53705,55 mins,3295,"{'lat': 48.4003727, 'lng': 21.666996}","044 41 Sady nad Torysou, Slovakia",OK,8,NULL,ChIJ9V21E-PePkcREEmXxtH3AAQ,"{'lat': 48.70756069999999, 'lng': 21.3458681}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
1,0,7.9 km,7921,8 mins,506,"{'lat': 48.4003727, 'lng': 21.666996}","076 82 Malá Tŕňa, Slovakia",OK,8,NULL,ChIJZTkRKxfSOEcR8Ek92zVxxrI,"{'lat': 48.4558008, 'lng': 21.6826166}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
3,0,76.8 km,76838,1 hour 3 mins,3782,"{'lat': 48.4003727, 'lng': 21.666996}","044 31 Družstevná pri Hornáde, Slovakia",OK,8,NULL,ChIJN-oTAO7mPkcRoEWXxtH3AAQ,"{'lat': 48.8050428, 'lng': 21.2487383}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
4,0,83.7 km,83653,1 hour 6 mins,3960,"{'lat': 48.4003727, 'lng': 21.666996}","044 81 Kysak, Slovakia",OK,8,NULL,ChIJq9KJX5nlPkcRIEeXxtH3AAQ,"{'lat': 48.85345479999999, 'lng': 21.2209916}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
5,0,81.9 km,81900,1 hour 3 mins,3800,"{'lat': 48.4003727, 'lng': 21.666996}","044 81 Obišovce, Slovakia",OK,8,NULL,ChIJCShAGGHvPkcRIEiXxtH3AAQ,"{'lat': 48.8619214, 'lng': 21.2381107}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
32,0,16.5 km,16487,16 mins,938,"{'lat': 48.4003727, 'lng': 21.666996}","076 15 Hrčeľ, Slovakia",OK,8,NULL,ChIJs_2RhIDTOEcREG-XxtH3AAQ,"{'lat': 48.5228001, 'lng': 21.6879165}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
6,0,80.3 km,80287,1 hour 7 mins,4047,"{'lat': 48.4003727, 'lng': 21.666996}","044 31 Sokoľ, Slovakia",OK,8,NULL,ChIJ07jXBzfkPkcRcEmXxtH3AAQ,"{'lat': 48.8134089, 'lng': 21.219625}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
7,0,39.4 km,39414,45 mins,2679,"{'lat': 48.4003727, 'lng': 21.666996}","044 14 Čaňa, Slovakia",OK,8,NULL,ChIJF2wUr0whP0cRUEWXxtH3AAQ,"{'lat': 48.6070779, 'lng': 21.3248705}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
8,0,98.9 km,98905,1 hour 44 mins,6249,"{'lat': 48.4003727, 'lng': 21.666996}","044 81 Veľká Lodina, Slovakia",OK,8,NULL,ChIJnb6rjkHlPkcREEqXxtH3AAQ,"{'lat': 48.859691, 'lng': 21.1566}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
46,0,24.0 km,24045,22 mins,1334,"{'lat': 48.4003727, 'lng': 21.666996}","076 01 Zemplínske Hradište, Slovakia",OK,8,NULL,ChIJx0g_fXfVOEcRzBpPDBynbZY,"{'lat': 48.5837704, 'lng': 21.7356619}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
9,0,77.7 km,77727,1 hour 4 mins,3853,"{'lat': 48.4003727, 'lng': 21.666996}","044 31 Kostoľany nad Hornádom, Slovakia",OK,8,NULL,ChIJC9idzLHmPkcR0JOXxtH3AAQ,"{'lat': 48.7979011, 'lng': 21.2417211}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
10,0,39.2 km,39185,38 mins,2298,"{'lat': 48.4003727, 'lng': 21.666996}","044 17 Slančík, Slovakia",OK,8,NULL,ChIJX5KcsvPXPkcRADOXxtH3AAQ,"{'lat': 48.6621688, 'lng': 21.4890466}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
11,0,44.3 km,44303,43 mins,2580,"{'lat': 48.4003727, 'lng': 21.666996}","044 16 Blažice, Slovakia",OK,8,NULL,ChIJT36RkI7YPkcRwESXxtH3AAQ,"{'lat': 48.6668055, 'lng': 21.4112279}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
12,0,29.7 km,29709,28 mins,1684,"{'lat': 48.4003727, 'lng': 21.666996}","044 18 Kalša, Slovakia",OK,8,NULL,ChIJ2e8wVrcpP0cRgEaXxtH3AAQ,"{'lat': 48.61325600000001, 'lng': 21.5272425}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
67,0,5.7 km,5746,7 mins,391,"{'lat': 48.4003727, 'lng': 21.666996}","076 31 Viničky, Slovakia",OK,8,NULL,ChIJFZLcOLbPOEcRcHuXxtH3AAQ,"{'lat': 48.3985485, 'lng': 21.7434795}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
13,0,42.5 km,42526,40 mins,2425,"{'lat': 48.4003727, 'lng': 21.666996}","044 16 Bohdanovce, Slovakia",OK,8,NULL,ChIJM6XednwnP0cR0ESXxtH3AAQ,"{'lat': 48.6565105, 'lng': 21.4011463}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
14,0,95.7 km,95676,1 hour 41 mins,6041,"{'lat': 48.4003727, 'lng': 21.666996}","044 32 Malá Lodina, Slovakia",OK,8,TRUE,ChIJn6eUZpT6PkcRQEeXxtH3AAQ,"{'lat': 48.8781217, 'lng': 21.1333697}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
15,0,40.5 km,40493,46 mins,2742,"{'lat': 48.4003727, 'lng': 21.666996}","044 15 Nižná Myšľa, Slovakia",OK,8,NULL,ChIJ5bEuk-EmP0cRHRDVUUjrJXk,"{'lat': 48.6258608, 'lng': 21.3635053}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
16,0,44.9 km,44872,50 mins,3021,"{'lat': 48.4003727, 'lng': 21.666996}","044 57 Haniska, Slovakia",OK,8,NULL,ChIJM3BgxQohP0cRIrKOWJFUB44,"{'lat': 48.6157687, 'lng': 21.2539912}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
17,0,48.2 km,48155,49 mins,2931,"{'lat': 48.4003727, 'lng': 21.666996}","044 19 Olšovany, Slovakia",OK,8,NULL,ChIJubPMVSHZPkcRwe8Eq1BRqAU,"{'lat': 48.7049727, 'lng': 21.4122287}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
18,0,55.9 km,55929,55 mins,3313,"{'lat': 48.4003727, 'lng': 21.666996}","044 41 Košická Polianka, Slovakia",OK,8,NULL,ChIJcZwqxz7fPkcR4EaXxtH3AAQ,"{'lat': 48.6928202, 'lng': 21.3477367}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
19,0,46.9 km,46870,52 mins,3132,"{'lat': 48.4003727, 'lng': 21.666996}","044 57 Sokoľany, Slovakia",OK,8,NULL,ChIJa38imYchP0cR0IeXxtH3AAQ,"{'lat': 48.6088494, 'lng': 21.2284687}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
20,0,50.3 km,50293,55 mins,3278,"{'lat': 48.4003727, 'lng': 21.666996}","044 58 Seňa, Slovakia",OK,8,NULL,ChIJM0LcHJojP0cRIEmXxtH3AAQ,"{'lat': 48.5587686, 'lng': 21.2570684}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
21,0,49.4 km,49409,47 mins,2816,"{'lat': 48.4003727, 'lng': 21.666996}","044 16 Nižný Čaj, Slovakia",OK,8,NULL,ChIJ9akAUKLYPkcRsEeXxtH3AAQ,"{'lat': 48.6659061, 'lng': 21.3981304}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
22,0,39.2 km,39183,38 mins,2294,"{'lat': 48.4003727, 'lng': 21.666996}","044 17 Nový Salaš, Slovakia",OK,8,NULL,ChIJZythrlcoP0cREEiXxtH3AAQ,"{'lat': 48.6114099, 'lng': 21.4742923}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
23,0,35.6 km,35650,34 mins,2038,"{'lat': 48.4003727, 'lng': 21.666996}","044 17 Slanec, Slovakia",OK,8,NULL,ChIJ79PVnA8oP0cRQEmXxtH3AAQ,"{'lat': 48.6363025, 'lng': 21.4782392}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
24,0,40.1 km,40094,38 mins,2296,"{'lat': 48.4003727, 'lng': 21.666996}","044 16 Rákoš, Slovakia",OK,8,NULL,ChIJk5q-b5MnP0cRsEiXxtH3AAQ,"{'lat': 48.645437, 'lng': 21.4268465}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
25,0,32.1 km,32126,31 mins,1864,"{'lat': 48.4003727, 'lng': 21.666996}","044 18 Slanské Nové Mesto, Slovakia",OK,8,NULL,ChIJ2wYw2rfXPkcRYEmXxtH3AAQ,"{'lat': 48.6294657, 'lng': 21.5238409}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
26,0,48.9 km,48921,55 mins,3270,"{'lat': 48.4003727, 'lng': 21.666996}","044 57 Bočiar, Slovakia",OK,8,NULL,ChIJGzxwmjQiP0cRwIeXxtH3AAQ,"{'lat': 48.5918698, 'lng': 21.2355402}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
27,0,44.6 km,44552,45 mins,2674,"{'lat': 48.4003727, 'lng': 21.666996}","044 19 Ruskov, Slovakia",OK,8,NULL,ChIJzx5uKUTYPkcRAEmXxtH3AAQ,"{'lat': 48.6818232, 'lng': 21.432293}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
28,0,41.3 km,41268,41 mins,2479,"{'lat': 48.4003727, 'lng': 21.666996}","044 17 Slanská Huta, Slovakia",OK,8,NULL,ChIJq3_8zyIpP0cRUEmXxtH3AAQ,"{'lat': 48.59683099999999, 'lng': 21.4669967}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
29,0,47.2 km,47243,49 mins,2920,"{'lat': 48.4003727, 'lng': 21.666996}","044 16 Vyšný Čaj, Slovakia",OK,8,NULL,ChIJAxHHHsDYPkcRVVSkcPpdcaM,"{'lat': 48.68367990000001, 'lng': 21.3993708}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
33,0,17.0 km,17038,18 mins,1095,"{'lat': 48.4003727, 'lng': 21.666996}","076 02 Kašov, Slovakia",OK,8,NULL,ChIJF3LaO1zROEcR0UGn2P-GttI,"{'lat': 48.4905361, 'lng': 21.7424947}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
47,0,24.4 km,24395,21 mins,1276,"{'lat': 48.4003727, 'lng': 21.666996}","076 02 Novosad, Slovakia",OK,8,NULL,ChIJ8x4lUznUOEcRgHCXxtH3AAQ,"{'lat': 48.5252548, 'lng': 21.7412231}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
34,0,17.6 km,17555,18 mins,1084,"{'lat': 48.4003727, 'lng': 21.666996}","076 05 Zemplínske Jastrabie, Slovakia",OK,8,NULL,ChIJw2nTBjDROEcRnw1e__MI2Lo,"{'lat': 48.498037, 'lng': 21.7764395}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
36,0,26.3 km,26315,22 mins,1323,"{'lat': 48.4003727, 'lng': 21.666996}","076 17 Čeľovce, Slovakia",OK,8,NULL,ChIJyU5Ki2EqP0cRenCcMgWzVgw,"{'lat': 48.6028631, 'lng': 21.6274274}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
39,0,24.7 km,24672,26 mins,1553,"{'lat': 48.4003727, 'lng': 21.666996}","076 03 Hraň, Slovakia",OK,8,NULL,ChIJQ7k1_3zWOEcRAG-XxtH3AAQ,"{'lat': 48.5447147, 'lng': 21.7887945}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
41,0,3.0 km,3036,4 mins,224,"{'lat': 48.4003727, 'lng': 21.666996}","076 32 Borša, Slovakia",OK,8,NULL,ChIJ_8pRkVPOOEcR91uFAGsl-ck,"{'lat': 48.3953271, 'lng': 21.7071432}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
43,0,21.5 km,21454,22 mins,1329,"{'lat': 48.4003727, 'lng': 21.666996}","076 03 Sirník, Slovakia",OK,8,NULL,ChIJpx207ubWOEcRUHqXxtH3AAQ,"{'lat': 48.5183876, 'lng': 21.8034735}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
48,0,12.1 km,12128,12 mins,704,"{'lat': 48.4003727, 'lng': 21.666996}","076 35 Somotor, Slovakia",OK,8,NULL,ChIJYyKXz0jFOEcRrqnzzvy2bzc,"{'lat': 48.4036921, 'lng': 21.8110298}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
50,0,22.3 km,22310,20 mins,1227,"{'lat': 48.4003727, 'lng': 21.666996}","076 16 Zemplínska Nová Ves, Slovakia",OK,8,NULL,ChIJifs3q9TUOEcRIQHYsL71Kgo,"{'lat': 48.5769724, 'lng': 21.6680537}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
51,0,13.6 km,13618,14 mins,834,"{'lat': 48.4003727, 'lng': 21.666996}","076 34 Zemplín, Slovakia",OK,8,NULL,ChIJy2vPrWvQOEcR4HuXxtH3AAQ,"{'lat': 48.4389312, 'lng': 21.8123559}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
52,0,33.3 km,33257,29 mins,1735,"{'lat': 48.4003727, 'lng': 21.666996}","076 64 Zemplínska Teplica, Slovakia",OK,8,NULL,ChIJAxgEl1zWPkcRAHyXxtH3AAQ,"{'lat': 48.64611619999999, 'lng': 21.5738705}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
69,0,9.4 km,9441,10 mins,609,"{'lat': 48.4003727, 'lng': 21.666996}","076 34 Ladmovce, Slovakia",OK,8,NULL,ChIJJxfGE-PPOEcR0G-XxtH3AAQ,"{'lat': 48.4122298, 'lng': 21.78117}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
53,0,51.6 km,51586,57 mins,3405,"{'lat': 48.4003727, 'lng': 21.666996}","044 58 Kechnec, Slovakia",OK,8,NULL,ChIJofQTEnsjP0cRcSqreUcZBRI,"{'lat': 48.5509588, 'lng': 21.2656102}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
54,0,29.3 km,29283,25 mins,1522,"{'lat': 48.4003727, 'lng': 21.666996}","075 01 Plechotice, Slovakia",OK,8,NULL,ChIJdRsnpITVPkcRvixQ3hLOk90,"{'lat': 48.6257446, 'lng': 21.6364758}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
62,0,23.8 km,23814,23 mins,1359,"{'lat': 48.4003727, 'lng': 21.666996}","076 12 Kuzmice, Slovakia",OK,8,NULL,ChIJNVvXhsQrP0cRsG-XxtH3AAQ,"{'lat': 48.57881829999999, 'lng': 21.5701717}","Sátoraljaújhely, Rákóczi u. 46, 3980 Hungary",locality
